Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,fluid_pressure,variance
1676104302.157307,2896,1676104302,147366240,base_link,101260.7421875,0.0
1676104302.216318,2897,1676104302,207334792,base_link,101254.75,0.0
1676104302.2768726,2898,1676104302,267278792,base_link,101253.0,0.0
1676104302.3174224,2899,1676104302,307265088,base_link,101250.2421875,0.0
1676104302.37635,2900,1676104302,367210088,base_link,101245.4921875,0.0
1676104302.4362242,2901,1676104302,427178384,base_link,101244.25,0.0
1676104302.4767964,2902,1676104302,467140384,base_link,101244.5,0.0
1676104302.5360675,2903,1676104302,527110192,base_link,101249.0,0.0
1676104302.5962787,2904,1676104302,587053192,base_link,101264.5,0.0
1676104302.6561182,2905,1676104302,647023512,base_link,101269.75,0.0
1676104302.697497,2906,1676104302,686985512,base_link,101274.75,0.0
1676104302.7575564,2907,1676104302,746955832,base_link,101255.5,0.0
1676104302.8194344,2908,1676104302,806923152,base_link,101228.5,0.0
1676104302.8569942,2909,1676104302,846886152,base_link,101239.2421875,0.0
1676104302.9185283,2910,1676104302,906855728,base_link,101250.75,0.0
1676104302.978259,2911,1676104302,966800728,base_link,101256.75,0.0
1676104303.0384235,2912,1676104303,26769048,base_link,101264.0,0.0
1676104303.0980623,2913,1676104303,86714048,base_link,101255.4921875,0.0
1676104303.136752,2914,1676104303,126703160,base_link,101256.5,0.0
1676104303.197859,2915,1676104303,186648160,base_link,101261.7421875,0.0
1676104303.2567666,2916,1676104303,246617504,base_link,101251.7421875,0.0
1676104303.3178275,2917,1676104303,306587104,base_link,101247.0,0.0
1676104303.357963,2918,1676104303,346550104,base_link,101238.2421875,0.0
1676104303.416995,2919,1676104303,406519960,base_link,101240.0,0.0
1676104303.4773402,2920,1676104303,466464960,base_link,101245.75,0.0
1676104303.5162616,2921,1676104303,506453560,base_link,101248.25,0.0
1676104303.5975547,2922,1676104303,586379560,base_link,101250.75,0.0
1676104303.6366751,2923,1676104303,626368672,base_link,101242.5,0.0
1676104303.6958835,2924,1676104303,686313672,base_link,101231.25,0.0
1676104303.7565386,2925,1676104303,746283528,base_link,101234.0,0.0
1676104303.7969015,2926,1676104303,786246528,base_link,101233.25,0.0
1676104303.8572938,2927,1676104303,846218152,base_link,101237.25,0.0
1676104303.91726,2928,1676104303,906188264,base_link,101235.25,0.0
1676104303.9589992,2929,1676104303,946152264,base_link,101227.5,0.0
1676104304.0185966,2930,1676104304,6123888,base_link,101220.7421875,0.0
1676104304.0761614,2931,1676104304,66068888,base_link,101232.0,0.0
1676104304.1389632,2932,1676104304,125716512,base_link,101235.25,0.0
1676104304.1799936,2933,1676104304,165254512,base_link,101252.25,0.0
1676104304.2375185,2934,1676104304,224586648,base_link,101255.5,0.0
1676104304.2977808,2935,1676104304,288835648,base_link,101253.5,0.0
1676104304.358814,2936,1676104304,348169528,base_link,101249.75,0.0
1676104304.4195673,2937,1676104304,407500664,base_link,101263.4921875,0.0
1676104304.4579864,2938,1676104304,447039664,base_link,101261.7421875,0.0
