Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15,channels_16,channels_17
1676104303.3109927,1587,1676104303,291239104,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.4112296,1588,1676104303,399264960,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.5102773,1589,1676104303,491290560,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.6118288,1590,1676104303,599316672,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.7116947,1591,1676104303,691342528,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.8105147,1592,1676104303,799369152,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104303.9133718,1593,1676104303,891395264,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.012191,1594,1676104303,999421888,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.1120656,1595,1676104304,91448512,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.2111175,1596,1676104304,199475648,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.3167539,1597,1676104304,291502528,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.411446,1598,1676104304,399529664,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.5118089,1599,1676104304,491557056,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.6105185,1600,1676104304,587585216,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
