Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1676104312.94357,8077,1676104312,930704344,base_link,2.685876190662384e-05,1.3068842887878415e-05,-3.022553324699402e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.9624119,8078,1676104312,950473344,base_link,2.686276137828827e-05,1.2878873944282529e-05,-3.0114844441413882e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104312.9824615,8079,1676104312,970242344,base_link,2.7638912200927735e-05,1.3014188408851621e-05,-2.980571985244751e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.003257,8080,1676104312,990011344,base_link,2.7786338329315188e-05,1.3278517127037046e-05,-2.9295873641967776e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.022907,8081,1676104313,9819792,base_link,2.751162648200989e-05,1.2998056411743161e-05,-2.9848819971084595e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.042252,8082,1676104313,29588792,base_link,2.6782605051994325e-05,1.2823870778083798e-05,-2.9362308979034427e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.0639038,8083,1676104313,49356792,base_link,2.767835855484009e-05,1.338728070259094e-05,-2.922482490539551e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.081463,8084,1676104313,69127792,base_link,2.7610841393470767e-05,1.3219717144966123e-05,-2.990977168083191e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.102612,8085,1676104313,88893792,base_link,2.694637179374695e-05,1.3417145609855649e-05,-2.9613935947418214e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.124086,8086,1676104313,108703216,base_link,2.7330368757247927e-05,1.3048854470252987e-05,-2.976531982421875e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.1419978,8087,1676104313,128471216,base_link,2.7214187383651734e-05,1.3013212382793424e-05,-2.9106357693672183e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.1626647,8088,1676104313,148240216,base_link,2.773128151893616e-05,1.3179917633533475e-05,-2.9679119586944583e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.180736,8089,1676104313,168008216,base_link,2.6130372285842896e-05,1.3096742331981656e-05,-2.852011322975159e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.2019567,8090,1676104313,187777216,base_link,2.6985058188438416e-05,1.314393877983093e-05,-2.881462872028351e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.2231355,8091,1676104313,207585664,base_link,2.6782771944999695e-05,1.2834168970584867e-05,-2.941863536834717e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.2435355,8092,1676104313,232298664,base_link,2.7868354320526124e-05,1.3029417395591733e-05,-2.9092395305633546e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.2631812,8093,1676104313,247124664,base_link,2.67650842666626e-05,1.2267038971185682e-05,-2.95754611492157e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.2828634,8094,1676104313,271835664,base_link,2.6828944683074952e-05,1.3242202997207639e-05,-2.9107058048248294e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.3037536,8095,1676104313,291603664,base_link,2.7390146255493167e-05,1.3644662499427793e-05,-2.9094249010086063e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.3225877,8096,1676104313,306470368,base_link,2.6967713236808777e-05,1.2585477530956266e-05,-2.9190853238105776e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.3428073,8097,1676104313,331183368,base_link,2.689357101917267e-05,1.3609713315963742e-05,-2.9398116469383243e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.3638422,8098,1676104313,350950368,base_link,2.69404411315918e-05,1.3468241691589353e-05,-2.9274660348892214e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.382146,8099,1676104313,370718368,base_link,2.7254083752632142e-05,1.3361671566963192e-05,-2.9127782583236696e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.40317,8100,1676104313,390487368,base_link,2.715265154838562e-05,1.3488991558551785e-05,-2.931995987892151e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.421217,8101,1676104313,405356328,base_link,2.7367499470710756e-05,1.3129296898841855e-05,-2.9745876789093017e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.4422321,8102,1676104313,430065328,base_link,2.6948398351669312e-05,1.3708452880382535e-05,-2.881419360637665e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.4617076,8103,1676104313,449834328,base_link,2.6692765951156618e-05,1.2920211255550381e-05,-2.9379335045814515e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.4817834,8104,1676104313,469602328,base_link,2.6514905691146853e-05,1.3894033432006833e-05,-2.93668806552887e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.5030212,8105,1676104313,489372328,base_link,2.7010393142700195e-05,1.3673382997512815e-05,-3.0357784032821658e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.5220501,8106,1676104313,509181800,base_link,2.686455249786377e-05,1.3086089491844175e-05,-2.9842835664749147e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.542097,8107,1676104313,528950800,base_link,2.6789313554763795e-05,1.2852478027343747e-05,-2.9675596952438357e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.5644588,8108,1676104313,548720800,base_link,2.6596397161483765e-05,1.2932521104812619e-05,-2.972337007522583e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.5854688,8109,1676104313,573438800,base_link,2.7204626798629763e-05,1.3155600428581236e-05,-3.0057883262634277e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.6057637,8110,1676104313,593199800,base_link,2.6982170343399048e-05,1.3320028781890867e-05,-3.000413179397583e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.6421955,8111,1676104313,627835016,base_link,2.672247588634491e-05,1.2810093164443966e-05,-2.985115647315979e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.6622393,8112,1676104313,647604016,base_link,2.7122876048088075e-05,1.295237988233566e-05,-2.9231768846511842e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.6831913,8113,1676104313,667372016,base_link,2.7481848001480105e-05,1.2419329583644865e-05,-3.0124840140342713e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
