Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15
1676104305.312116,3231,1676104305,302506616,,455,482,670,569,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.3611991,3232,1676104305,351922616,,609,603,432,544,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.4112089,3233,1676104305,401385800,,473,536,657,527,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.4608018,3234,1676104305,450794800,,528,510,528,617,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.5111392,3235,1676104305,502748240,,504,506,535,596,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.5623116,3236,1676104305,552151240,,502,549,522,535,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.61127,3237,1676104305,601599936,,529,542,529,481,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.6622386,3238,1676104305,653483936,,525,526,455,562,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.7154427,3239,1676104305,702955632,,515,477,490,577,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.7614548,3240,1676104305,752353632,,547,632,409,466,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.8125985,3241,1676104305,802005328,,485,485,524,578,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.8626723,3242,1676104305,853702328,,533,523,477,547,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.9140503,3243,1676104305,903149024,,567,578,454,508,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104305.9615066,3244,1676104305,950119024,,488,530,530,553,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.011218,3245,1676104306,2023744,,503,485,510,585,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.0620801,3246,1676104306,51455744,,509,531,527,512,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.1142533,3247,1676104306,103366952,,520,487,503,565,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.1612763,3248,1676104306,150341952,,512,541,486,513,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.2135828,3249,1676104306,202251416,,499,515,511,501,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.2635896,3250,1676104306,254135416,,485,505,526,518,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.3121257,3251,1676104306,301125136,,502,544,468,508,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.363198,3252,1676104306,353008136,,484,524,508,508,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.4118903,3253,1676104306,402462624,,480,536,523,491,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.4621844,3254,1676104306,451894624,,476,523,521,503,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.51207,3255,1676104306,501588600,,500,532,522,494,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.5622635,3256,1676104306,553226600,,491,470,511,564,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.6164467,3257,1676104306,605158832,,510,594,469,465,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.6621764,3258,1676104306,652101832,,517,541,468,505,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.7120004,3259,1676104306,701564320,,492,498,518,545,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.7617512,3260,1676104306,750996320,,510,463,506,566,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.813316,3261,1676104306,802901552,,483,528,504,539,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.8614986,3262,1676104306,852335552,,523,502,478,561,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.912856,3263,1676104306,901787040,,529,596,439,479,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104306.9624543,3264,1676104306,953669040,,521,540,485,503,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.0149755,3265,1676104307,3126528,,501,623,469,457,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.061633,3266,1676104307,52541528,,501,515,506,543,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.114118,3267,1676104307,102003784,,523,566,470,501,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.163216,3268,1676104307,153892784,,497,485,522,537,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.215777,3269,1676104307,203344296,,516,557,492,487,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.2628927,3270,1676104307,252936296,,476,535,531,504,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.3139198,3271,1676104307,302230808,,484,516,518,523,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.3631735,3272,1676104307,354115808,,538,532,468,504,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.4120543,3273,1676104307,401113576,,491,594,492,462,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.4650166,3274,1676104307,452988576,,535,509,478,515,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.5122821,3275,1676104307,502454600,,533,575,469,472,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.5625424,3276,1676104307,551879600,,487,493,538,560,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.6216867,3277,1676104307,603789112,,516,591,474,505,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.6633956,3278,1676104307,653211112,,483,512,518,557,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.7169092,3279,1676104307,705137624,,503,526,520,493,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.7635324,3280,1676104307,754562624,,527,562,471,474,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.8125498,3281,1676104307,801554392,,494,572,475,490,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.8628821,3282,1676104307,853432392,,513,545,511,476,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.912957,3283,1676104307,902888928,,514,586,480,472,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104307.9628935,3284,1676104307,952314928,,469,477,554,563,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.0207915,3285,1676104308,4309720,,499,559,478,517,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.0625982,3286,1676104308,51198720,,520,601,480,468,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.114012,3287,1676104308,103125256,,509,591,461,511,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.1672244,3288,1676104308,155005256,,508,510,532,507,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.2145202,3289,1676104308,202000048,,474,479,509,594,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.2632742,3290,1676104308,253915048,,470,455,559,578,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.3119104,3291,1676104308,300877096,,469,462,534,595,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.365902,3292,1676104308,355236096,,492,449,506,606,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.4156055,3293,1676104308,402222144,,472,464,556,564,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.4643395,3294,1676104308,454108144,,500,521,489,544,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.5148237,3295,1676104308,503601448,,496,450,487,609,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.566944,3296,1676104308,555457448,,471,521,538,531,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.61455,3297,1676104308,602461496,,493,506,494,583,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.6647186,3298,1676104308,654335496,,495,616,495,473,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.7169888,3299,1676104308,703978312,,472,477,557,556,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.7629335,3300,1676104308,753213312,,498,577,498,492,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.815459,3301,1676104308,802669872,,448,498,544,548,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.864101,3302,1676104308,852098872,,473,518,534,510,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.918346,3303,1676104308,904018944,,527,521,483,519,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104308.9629045,3304,1676104308,953440944,,530,516,490,507,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104309.0161471,3305,1676104309,2908016,,529,523,464,517,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104309.0652118,3306,1676104309,54790016,,466,474,505,572,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104309.1133444,3307,1676104309,101788088,,491,517,500,536,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104309.1638813,3308,1676104309,153672088,,548,605,430,460,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104309.2137177,3309,1676104309,203132672,,502,528,479,553,1054,1054,0,0,0,0,0,0,0,0,0,0
1676104309.2628264,3310,1676104309,252548672,,504,518,482,540,1054,1054,0,0,0,0,0,0,0,0,0,0
