Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1676469336.466385,118,1676469336,460444450,,-6.749360807071897,0.4968079743873942,-1.3170505435272009
1676469336.4737072,119,1676469336,470565080,,-7.02247272691243,0.4228736657842354,-1.4816433728276732
1676469336.4819584,120,1676469336,480159044,,-7.529964967155166,0.14343347522147923,-1.467470322780243
1676469336.4930317,121,1676469336,490142822,,-7.842059028789493,0.0423975793641011,-1.6477263539323201
1676469336.501961,122,1676469336,500070571,,-8.285559832415544,-0.21744704087221464,-1.5943122831053598
1676469336.5144129,123,1676469336,510150194,,-8.663850556828702,-0.37575594919513144,-1.5840261595368452
1676469336.5218694,124,1676469336,520076274,,-8.930132619565434,-0.42356811161220165,-1.7523597681542744
1676469336.5321376,125,1676469336,530181884,,-9.212446182021557,-0.6634006546213705,-1.641436096261866
1676469336.54197,126,1676469336,540211200,,-9.450453914254183,-0.6754615453384716,-1.7606716376508686
1676469336.5515993,127,1676469336,550100803,,-9.699269577018638,-0.8149317760088097,-1.756887018675371
1676469336.5636322,128,1676469336,561919927,,-9.663424096625452,-0.7095063394042188,-1.7807059093362716
1676469336.5733232,129,1676469336,570202827,,-10.199745835608649,-0.916287444000744,-1.6688038037525756
1676469336.5822184,130,1676469336,580183744,,-10.182996486659093,-0.8766508872724518,-1.7405104902082265
1676469336.5914123,131,1676469336,590060949,,-9.726933805401293,-0.2736686990982522,-2.365750784617984
1676469336.6016297,132,1676469336,600109338,,-10.247195010885047,-0.7608211458185873,-1.8313732368513573
1676469336.6127062,133,1676469336,610326766,,-10.260986417039646,-0.7581327337857463,-1.7325448132037171
1676469336.6230757,134,1676469336,620160579,,-10.230584062452087,-0.5091293402917305,-1.8624330543600227
1676469336.6349895,135,1676469336,631354570,,-10.244344971994563,-0.4177100021968775,-1.8659409367214324
1676469336.642043,136,1676469336,640321969,,-10.06714383062508,-0.3323190063404092,-1.7952480585304755
1676469336.6522863,137,1676469336,650231838,,-9.884279647221831,-0.2931585617228034,-1.8317683828492648
1676469336.6633158,138,1676469336,661952495,,-9.871860536753763,-0.07341529966946847,-1.9301990112229865
1676469336.6717281,139,1676469336,670011758,,-9.725305019356496,0.05269391508656103,-1.8936840099412058
1676469336.6817653,140,1676469336,680080413,,-9.641229578822418,0.17914852343547105,-1.852264380150429
1676469336.6932044,141,1676469336,690049171,,-9.557436031732111,0.28432822370682703,-1.8337463569537222
1676469336.7017183,142,1676469336,700119495,,-9.423259745207943,0.4168083803163142,-1.8446071213155464
1676469336.7122524,143,1676469336,710338592,,-9.283742070422763,0.5469493030377784,-1.860019057995352
1676469336.7213962,144,1676469336,720169782,,-9.125522276168676,0.7534997455837383,-1.8115975295857314
1676469336.7315927,145,1676469336,730139732,,-9.043609685682078,0.8990432299180202,-1.8604923442033603
1676469336.7431686,146,1676469336,740194559,,-8.88537357016641,1.0414897417584474,-1.8031240379604427
1676469336.7526038,147,1676469336,750155925,,-8.832220696786894,1.1846544673154624,-1.8628857116442468
1676469336.765041,148,1676469336,762806415,,-8.66188227417674,1.3454508400798324,-1.7945057985790964
1676469336.7749593,149,1676469336,770848035,,-8.108956460883915,1.5853493518974358,-1.826859564624102
1676469336.7823493,150,1676469336,780158042,,-8.0659720280908,1.6905644194697576,-1.7831927404344152
1676469336.7913964,151,1676469336,790121555,,-7.755118604194226,1.922142526784941,-1.7639993435854135
1676469336.8014283,152,1676469336,800064563,,-7.744651760939419,2.0029444984245752,-1.6966899523284809
1676469336.8149085,153,1676469336,810178041,,-7.284393410999034,2.280921613979305,-1.6677774981432087
1676469336.8214922,154,1676469336,820112705,,-7.124970232538744,2.350900345533298,-1.6602621831229567
1676469336.833139,155,1676469336,830133676,,-6.948908329270322,2.6142403330101613,-1.6765010286470654
1676469336.8420093,156,1676469336,840100288,,-6.551489123140431,2.943487319184139,-1.5959348770755777
1676469336.8517268,157,1676469336,850115537,,-6.070667443646395,3.153371603501696,-1.6579889742895226
1676469336.8661323,158,1676469336,862238645,,-5.880320375629551,3.3015047842770744,-1.5883600738600825
1676469336.8729115,159,1676469336,870311260,,-5.934701966330244,3.420093341931602,-1.5087397837920087
1676469336.8816788,160,1676469336,880084276,,-5.356964416319076,3.691646464254953,-1.4095554835290869
1676469336.8915293,161,1676469336,890138864,,-4.94615319670156,4.02905378148227,-1.4013074751461487
1676469336.9029365,162,1676469336,900572061,,-4.4635190181664015,4.280441259374857,-1.3786617322199264
1676469336.9121304,163,1676469336,910630464,,-4.118583768418121,4.58578544292661,-1.3617936192564901
1676469336.9218035,164,1676469336,920050859,,-4.056639295287665,4.709532737153019,-1.351377697477992
1676469336.9332106,165,1676469336,930232286,,-3.594443443712531,4.884057582730708,-1.331727993849196
1676469336.9421263,166,1676469336,940164566,,-3.2380072306207968,5.087366551507486,-1.231235570754213
1676469336.9515955,167,1676469336,950105667,,-3.016006915537856,5.371598340823728,-1.2241818584226878
1676469336.9630315,168,1676469336,960913658,,-2.572903180604893,5.540756495863682,-1.1017424487032308
1676469336.9716287,169,1676469336,970088005,,-2.1926326407093044,5.5999770201769214,-1.132698617798819
1676469336.9823513,170,1676469336,980501413,,-1.9555022854873012,5.811489849645036,-1.0856541505324593
1676469336.9986007,171,1676469336,990094661,,-1.4706447043137718,6.088826215795373,-0.9828235561674581
1676469337.0099542,172,1676469337,6104230,,-1.0239925439448734,6.245085518536896,-0.8522127924356608
1676469337.014955,173,1676469337,10842800,,-0.9072294903335575,6.294031148936853,-0.9085795403670882
1676469337.0216208,174,1676469337,20036697,,-0.47307905005620937,6.519588018052643,-0.8947248232362577
1676469337.0345223,175,1676469337,30091762,,-0.21342350052654382,6.611128404747601,-0.7385099850136903
1676469337.0418303,176,1676469337,40173053,,0.26369281745614376,6.784826353619159,-0.7110236694544707
1676469337.0529163,177,1676469337,50056219,,0.6663942669983448,6.89675820137168,-0.6968058413979769
1676469337.0657637,178,1676469337,60772180,,0.7753811798163538,6.9760811754584156,-0.5924344568707313
1676469337.0754435,179,1676469337,70199251,,0.9932728643553659,7.076297932547611,-0.5885118522047226
1676469337.0827236,180,1676469337,80482721,,1.6041507482854294,7.307635933078304,-0.5694101642571491
1676469337.0925894,181,1676469337,90684413,,1.9491655883767756,7.330554571957363,-0.3901063932115059
1676469337.102575,182,1676469337,100434541,,2.0855224054003454,7.41748940787337,-0.44207190555176545
1676469337.1143603,183,1676469337,110244035,,2.3034117313005975,7.442959410546614,-0.34363850513613825
1676469337.1255858,184,1676469337,120258808,,2.5438387843215047,7.55070390452591,-0.387759790296089
1676469337.137378,185,1676469337,132996559,,2.9166234171464147,7.551256334905711,-0.30789224452731206
1676469337.1465347,186,1676469337,142598390,,3.250872229273473,7.696499608706173,-0.21736575100384722
1676469337.1512866,187,1676469337,150101184,,3.4432732470081606,7.718628754081285,-0.1807443888217981
1676469337.1632888,188,1676469337,161941528,,3.7004183086811975,7.783329189980956,-0.16439275878606374
1676469337.1779952,189,1676469337,170114040,,3.8653421741628344,7.654206474139786,-0.07420536803306092
1676469337.184654,190,1676469337,181245803,,3.9912517372793923,7.79378682276531,-0.06690120746391881
1676469337.1919484,191,1676469337,190373182,,4.317093427492246,7.80071280254538,0.0009412813042193113
1676469337.2017846,192,1676469337,200329303,,4.483940606718164,7.820947129437285,-0.03641941124335984
1676469337.2121956,193,1676469337,210468292,,4.594177372344699,7.746280589689199,-0.0053359436527756045
1676469337.222886,194,1676469337,220187664,,4.833840540272938,7.792640311956796,0.06289152403829505
1676469337.2328598,195,1676469337,230170011,,5.098791588640597,7.799021857389404,0.18595475870444647
1676469337.2415757,196,1676469337,240163087,,5.33037635196666,7.841657651445237,0.09602483527196569
1676469337.252982,197,1676469337,250126600,,5.3618040045419075,7.800494117273915,0.16185192325532805
