Time,transforms
1676469335.1249762,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 853423744
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298604488372803
    y: -0.5838403701782227
    z: 0.12474481761455536
  rotation: 
    x: -0.01913563720881939
    y: 0.046892158687114716
    z: -0.0010278304107487202
    w: -0.9987161755561829]"
1676469335.1250033,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 863363055
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298656940460205
    y: -0.583843469619751
    z: 0.12473846226930618
  rotation: 
    x: -0.01945403218269348
    y: 0.04673559218645096
    z: -0.0010880777845159173
    w: -0.9987173080444336]"
1676469335.1250248,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 863427331
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298536539077759
    y: -0.5838484168052673
    z: 0.12473782896995544
  rotation: 
    x: -0.01918797940015793
    y: 0.04690677672624588
    z: -0.0010702958097681403
    w: -0.9987144470214844]"
1676469335.1250582,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 863474071
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329860806465149
    y: -0.5838468074798584
    z: 0.1247376799583435
  rotation: 
    x: -0.01909620501101017
    y: 0.04680773988366127
    z: -0.0009631167049519718
    w: -0.9987209439277649]"
1676469335.125068,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 873403956
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329858422279358
    y: -0.5838497877120972
    z: 0.12474001944065094
  rotation: 
    x: -0.019073866307735443
    y: 0.046989452093839645
    z: -0.0010622853878885508
    w: -0.9987127780914307]"
1676469335.1250918,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 873473881
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298650979995728
    y: -0.58383709192276
    z: 0.12475161254405975
  rotation: 
    x: -0.019270259886980057
    y: 0.046998172998428345
    z: -0.0010995015036314726
    w: -0.9987085461616516]"
1676469335.1251073,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 883440079
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298625946044922
    y: -0.583853006362915
    z: 0.124737948179245
  rotation: 
    x: -0.019186154007911682
    y: 0.04682686924934387
    z: -0.0010032696882262826
    w: -0.9987183213233948]"
1676469335.1251361,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 883506097
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298568725585938
    y: -0.583846926689148
    z: 0.12474166601896286
  rotation: 
    x: -0.01927650347352028
    y: 0.04690452292561531
    z: -0.0010777428979054093
    w: -0.9987127780914307]"
1676469335.1251626,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 883551892
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329857349395752
    y: -0.5838437676429749
    z: 0.1247398778796196
  rotation: 
    x: -0.01921527273952961
    y: 0.046818509697914124
    z: -0.0010484857484698296
    w: -0.9987180233001709]"
1676469335.1251721,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 893377686
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.329862356185913
    y: -0.5838438272476196
    z: 0.1247476190328598
  rotation: 
    x: -0.01930919662117958
    y: 0.04691212624311447
    z: -0.0010271338978782296
    w: -0.9987119436264038]"
