Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,temperature,variance
1676469266.380965,2722,1676469266,372878344,base_link,25.260000228881836,0.0
1676469266.4385917,2723,1676469266,432826344,base_link,25.26999855041504,0.0
1676469266.4972363,2724,1676469266,492773320,base_link,25.26999855041504,0.0
1676469266.5379775,2725,1676469266,532739320,base_link,25.26999855041504,0.0
1676469266.6182554,2726,1676469266,612669552,base_link,25.26999855041504,0.0
1676469266.6565495,2727,1676469266,652633552,base_link,25.26999855041504,0.0
1676469266.7177656,2728,1676469266,712580528,base_link,25.26999855041504,0.0
1676469266.7791939,2729,1676469266,772527760,base_link,25.26999855041504,0.0
1676469266.8172796,2730,1676469266,812493760,base_link,25.26999855041504,0.0
1676469266.8797002,2731,1676469266,872439992,base_link,25.26999855041504,0.0
1676469266.9379592,2732,1676469266,932387992,base_link,25.26999855041504,0.0
1676469266.997052,2733,1676469266,992336224,base_link,25.26999855041504,0.0
1676469267.0368025,2734,1676469267,32301224,base_link,25.26999855041504,0.0
1676469267.096107,2735,1676469267,92247200,base_link,25.26999855041504,0.0
1676469267.157041,2736,1676469267,152198200,base_link,25.279998779296875,0.0
1676469267.1960533,2737,1676469267,192160688,base_link,25.26999855041504,0.0
1676469267.2787797,2738,1676469267,272091920,base_link,25.26999855041504,0.0
1676469267.3172321,2739,1676469267,312056920,base_link,25.26999855041504,0.0
1676469267.3774374,2740,1676469267,372002152,base_link,25.279998779296875,0.0
1676469267.4390392,2741,1676469267,431951152,base_link,25.26999855041504,0.0
1676469267.4797008,2742,1676469267,471917128,base_link,25.279998779296875,0.0
1676469267.5368412,2743,1676469267,531863128,base_link,25.26999855041504,0.0
1676469267.59849,2744,1676469267,591810360,base_link,25.279998779296875,0.0
1676469267.6584134,2745,1676469267,651757360,base_link,25.279998779296875,0.0
1676469267.6974182,2746,1676469267,691723360,base_link,25.26999855041504,0.0
1676469267.7576036,2747,1676469267,751671360,base_link,25.279998779296875,0.0
1676469267.8175018,2748,1676469267,811617080,base_link,25.279998779296875,0.0
1676469267.8557184,2749,1676469267,851583080,base_link,25.279998779296875,0.0
1676469267.9180837,2750,1676469267,911530056,base_link,25.279998779296875,0.0
1676469267.9796557,2751,1676469267,971477544,base_link,25.279998779296875,0.0
1676469268.0385568,2752,1676469268,31424544,base_link,25.279998779296875,0.0
1676469268.098946,2753,1676469268,91375032,base_link,25.279998779296875,0.0
1676469268.1373951,2754,1676469268,131338032,base_link,25.279998779296875,0.0
1676469268.1961737,2755,1676469268,191284520,base_link,25.279998779296875,0.0
1676469268.2581215,2756,1676469268,251234520,base_link,25.279998779296875,0.0
1676469268.2995224,2757,1676469268,291199008,base_link,25.279998779296875,0.0
1676469268.3583376,2758,1676469268,351146008,base_link,25.279998779296875,0.0
1676469268.4187562,2759,1676469268,411094496,base_link,25.279998779296875,0.0
1676469268.4804895,2760,1676469268,471041984,base_link,25.28999900817871,0.0
1676469268.519128,2761,1676469268,511005984,base_link,25.279998779296875,0.0
1676469268.577217,2762,1676469268,570953472,base_link,25.28999900817871,0.0
