Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,airspeed,groundspeed,heading,throttle,altitude,climb
1676104316.5301256,3235,1676104316,529640454,,0.0,0.05114632844924927,78,0.0,1.1864014863967896,-0.014624470844864845
1676104316.5808868,3236,1676104316,580449801,,0.0,0.05632665008306503,78,0.0,1.4374217987060547,-0.0010148535948246717
1676104316.6302736,3237,1676104316,629638801,,0.0,0.08140966296195984,78,0.0,1.601245641708374,-0.0017122492427006364
1676104316.6816757,3238,1676104316,681250516,,0.0,0.1043648049235344,78,0.0,1.7677117586135864,-0.0012770850444212556
1676104316.7339656,3239,1676104316,732222822,,0.0,0.10184144228696823,78,0.0,1.7677117586135864,0.0005573449889197946
1676104316.7806094,3240,1676104316,779520798,,0.0,0.07555383443832397,78,0.0,2.0821478366851807,0.0002049496688414365
1676104316.831983,3241,1676104316,831499263,,0.0,0.05679653212428093,78,0.0,1.7888503074645996,0.0005295502487570047
1676104316.8809345,3242,1676104316,879957560,,0.0,0.06732340157032013,78,0.0,1.8099889755249023,0.0017323424108326435
1676104316.9346569,3243,1676104316,933529501,,0.0,0.07639174908399582,78,0.0,2.0398707389831543,0.0030005371663719416
1676104316.980175,3244,1676104316,979582696,,0.0,0.06927059590816498,78,0.0,2.0187320709228516,0.003966871649026871
1676104317.0329254,3245,1676104317,31436406,,0.0,0.0601639598608017,78,0.0,1.6857999563217163,0.003915735986083746
1676104317.0807898,3246,1676104317,80073405,,0.0,0.06355828791856766,78,0.0,2.0398707389831543,0.004540874622762203
1676104317.1304438,3247,1676104317,129982260,,0.0,0.05799638852477074,78,0.0,1.8311275243759155,0.00511085195466876
1676104317.1809716,3248,1676104317,180629188,,0.0,0.05403978005051613,78,0.0,1.8099889755249023,0.0054181539453566074
1676104317.2305217,3249,1676104317,229667881,,0.0,0.053867850452661514,78,0.0,1.8099889755249023,0.00547158345580101
1676104317.2815871,3250,1676104317,280587061,,0.0,0.04719811677932739,78,0.0,2.061009407043457,0.005626233760267496
1676104317.3337057,3251,1676104317,332127447,,0.0,0.04795437678694725,78,0.0,1.7888503074645996,0.006056217011064291
1676104317.380164,3252,1676104317,379679179,,0.0,0.043031416833400726,78,0.0,2.061009407043457,0.006384687032550573
1676104317.4326475,3253,1676104317,431653868,,0.0,0.03853746876120567,78,0.0,2.1217825412750244,0.0059889936819672585
1676104317.4801466,3254,1676104317,479619774,,0.0,0.03711530193686485,78,0.0,2.0187320709228516,0.005703250877559185
1676104317.5339212,3255,1676104317,532277631,,0.0,0.03357787802815437,78,0.0,1.7677117586135864,0.005145237315446138
1676104317.5799842,3256,1676104317,579561777,,0.0,0.030653158202767372,78,0.0,1.8311275243759155,0.005229291971772909
1676104317.6315305,3257,1676104317,630700637,,0.0,0.02856191247701645,78,0.0,1.9341778755187988,0.005055644083768129
1676104317.6820722,3258,1676104317,681610669,,0.0,0.02566472440958023,78,0.0,2.0187320709228516,0.004688705783337355
1676104317.7300503,3259,1676104317,729583852,,0.0,0.022642366588115692,78,0.0,2.0187320709228516,0.004094080999493599
1676104317.7824593,3260,1676104317,781602041,,0.0,0.0185621939599514,78,0.0,1.70693838596344,0.003521759994328022
1676104317.8302288,3261,1676104317,829773552,,0.0,0.014398878440260887,78,0.0,2.0821478366851807,0.0027561394963413477
1676104317.8813174,3262,1676104317,880647752,,0.0,0.017252463847398758,78,0.0,2.0398707389831543,0.0024876934476196766
1676104317.9320965,3263,1676104317,931528822,,0.0,0.010124726220965385,78,0.0,1.8311275243759155,0.0016609019367024302
1676104317.9804432,3264,1676104317,980020566,,0.0,0.00984891876578331,78,0.0,2.1217825412750244,0.0012576336739584804
1676104318.031296,3265,1676104318,30771253,,0.0,0.007798250764608383,78,0.0,1.7677117586135864,0.0007324612815864384
1676104318.08104,3266,1676104318,80454672,,0.0,0.005284350365400314,78,0.0,1.8522659540176392,0.0003931836399715394
1676104318.1321435,3267,1676104318,131547628,,0.0,0.006079941987991333,78,0.0,2.1217825412750244,0.00041283469181507826
1676104318.1809034,3268,1676104318,179986913,,0.0,0.0038814223371446133,78,0.0,2.142921209335327,-0.00017379652126692235
1676104318.2324913,3269,1676104318,231529394,,0.0,0.00605224072933197,78,0.0,2.0398707389831543,-0.00041144067654386163
1676104318.2813923,3270,1676104318,280537886,,0.0,0.004233177285641432,78,0.0,1.7465732097625732,-0.0006729259039275348
1676104318.3328998,3271,1676104318,332065109,,0.0,0.00475320452824235,78,0.0,1.9975935220718384,-0.0015334852505475283
1676104318.3809364,3272,1676104318,380452803,,0.0,0.005786783527582884,78,0.0,1.9975935220718384,-0.0018475857796147466
1676104318.4320242,3273,1676104318,431467224,,0.0,0.00819682702422142,78,0.0,1.9553165435791016,-0.002188869286328554
1676104318.480164,3274,1676104318,479490834,,0.0,0.006192109081894159,78,0.0,2.0821478366851807,-0.0021669836714863777
1676104318.5320249,3275,1676104318,531554654,,0.0,0.009696115739643574,78,0.0,1.8734045028686523,-0.002802847884595394
1676104318.580002,3276,1676104318,579624189,,0.0,0.008235852234065533,78,0.0,1.8311275243759155,-0.0030042293947190046
1676104318.6322613,3277,1676104318,631527569,,0.0,0.010318437591195107,78,0.0,2.061009407043457,-0.003788671689108014
1676104318.6804621,3278,1676104318,679564679,,0.0,0.010638347826898098,78,0.0,1.9764550924301147,-0.004283450078219175
1676104318.7313504,3279,1676104318,730851908,,0.0,0.010903358459472656,78,0.0,1.9553165435791016,-0.004276936873793602
1676104318.7805507,3280,1676104318,779508261,,0.0,0.01123559009283781,78,0.0,1.8311275243759155,-0.0044999998062849045
1676104318.8319604,3281,1676104318,831474953,,0.0,0.01086197979748249,78,0.0,2.0398707389831543,-0.004732110537588596
1676104318.8810444,3282,1676104318,879988014,,0.0,0.013522387482225895,78,0.0,2.0398707389831543,-0.005094329826533794
